artist_name,song_name,duration,playcount,listeners,tag
Taylor Swift,Better Than Revenge,217000,5554361,423522,country
Taylor Swift,gold rush,185000,9811262,437109,indie
Boygenius,Not Strong Enough,0,2216472,189144,indie
BLACKPINK,Shut Down,175000,12587416,349315,k-pop
Travis Scott,90210 (feat. Kacy Hill),339000,8492646,458376,pop rap
Mitski,Francis Forever,149000,9142086,546963,indie
The Neighbourhood,Softcore,208000,8450342,561099,alternative
Lady Gaga,Poker Face,238000,19595786,2107555,pop
Baby Keem,ORANGE SODA,129000,6741849,497623,trap
"Tyler, the Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),0,6927802,564718,MySpotigramBot
Taylor Swift,tolerate it,245000,8739373,404522,indie
Travis Scott,Goosebumps,0,6695223,648239,trap
Phoebe Bridgers,Kyoto,184000,10251485,562029,indie rock
Paramore,Still into You,0,10254740,920338,rock
Frank Ocean,Pyramids,0,8701942,748822,rnb
Taylor Swift,I Did Something Bad,238000,8048755,456259,pop
Taylor Swift,I Knew You Were Trouble (Taylor's Version),219000,4499446,453216,pop
The 1975,About You,328000,4780011,329488,shoegaze
SZA,Nobody Gets Me,180000,4861684,468217,indie pop
Ice Cube,It Was A Good Day,260000,8533269,1296627,rap
Agust D,Haegeum,168000,11595355,114350,rap
The Weeknd,I Was Never There,0,6278019,545332,rnb
Playboi Carti,Magnolia,182000,8307184,610177,trap
Taylor Swift,Death by a Thousand Cuts,199000,6924797,356854,pop
Harry Styles,Satellite,218000,7267207,423853,pop
Taylor Swift,BETTY,0,8542804,451655,folk
Post Malone,Circles,215000,11031517,823572,pop
Lana Del Rey,Did You Know That There's a Tunnel Under Ocean Blvd,0,3845592,374955,baroque pop
Hozier,Take Me to Church,242000,14167201,1305749,indie
Vansire,From the Subway Train,57000,2192276,456847,Unknown
Lord Huron,The Night We Met,221000,9890573,774452,indie
Kanye West,Violent Crimes,215000,8956823,591480,pop rap
Sam Smith,Unholy (feat. Kim Petras),156000,6872079,586592,electropop
Kanye West,Ghost Town,0,11147736,604392,rap
Duster,Inside Out,141000,5989662,434403,shoegaze
Ariana Grande,7 rings,176000,16270132,887155,trap
Frank Ocean,Super Rich Kids,0,8759714,820543,rhythum and blues tag
21 Savage,Glock In My Lap,193000,4598227,359150,MySpotigramBot
Gotye,Somebody That I Used To Know,0,19071592,1720957,indie
Beyoncé,ALIEN SUPERSTAR,150000,7150280,379506,unique
Mitski,Nobody,193000,10964216,703750,Disco
Taylor Swift,High Infidelity,231000,4783912,297170,singer-songwriter
Taylor Swift,Call It What You Want,0,7842231,398069,pop
Lana Del Rey,Happiness Is a Butterfly,0,7887014,546125,soft rock
LIL UZI VERT,Watch This - ARIZONATEARS Pluggnb Remix,0,1905001,224778,MySpotigramBot
J. Cole,Wet Dreamz,239000,7011951,636854,rap
Radiohead,Jigsaw Falling Into Place,248000,14474398,1247416,alternative
Cigarettes After Sex,K.,0,7403080,576529,dream pop
The Weeknd,Reminder,218000,6198458,508969,rnb
Frank Ocean,Nikes,314000,10942205,687171,rnb
Lana Del Rey,Born to Die,312000,17998363,1289236,indie
The Neighbourhood,You Get Me So High,0,6937248,526839,alternative
Taylor Swift,Speak Now,241000,4653141,410769,country
Vance Joy,Riptide,201000,11977127,1199648,indie
Surf Curse,Freaks,147000,8800123,676934,surf rock
Playboi Carti,ILoveUIHateU,135000,9052685,416574,Southern Hip Hop
LIL UZI VERT,XO TOUR Llif3,0,11284651,769119,emo rap
Taylor Swift,Wildest Dreams,0,9686911,747669,pop
Taylor Swift,Paris,196000,5708039,306379,singer-songwriter
Taylor Swift,Cornelia Street,296000,6404958,366101,pop
Kali Uchis,I Wish You Roses,219000,2710687,285104,ethereal
JiSoo,Flower,0,5626321,166367,k-pop
Olivia Rodrigo,"jealousy, jealousy",173000,11521463,657621,rock
The Cure,Boys Don't Cry,204000,12332331,1435488,80s
xxxtentacion,Revenge,0,8328771,552122,alternative rock
Linkin Park,In the End,196000,19045887,1973548,rock
ABBA,Dancing Queen,231000,9445353,1431220,pop
"Tyler, the Creator",WHARF TALK (feat. A$AP Rocky),204000,1148127,214151,MySpotigramBot
Suki Waterhouse,Good Looking,214000,4218796,367926,dream pop
SZA,Blind,150000,4775695,454964,soul
SZA,Ghost in the Machine (feat. Phoebe Bridgers),218000,4521887,433684,art pop
Taylor Swift,Dress,0,6585636,369632,pop
Olivia Rodrigo,favorite crime,152000,11575275,615475,pop
Radiohead,Weird Fishes/ Arpeggi,318000,7243602,565997,alternative
Taylor Swift,Red (Taylor's Version),223000,5599448,417228,pop
Radiohead,Karma Police,263000,21433904,2149540,alternative
Taylor Swift,Sparks Fly,336000,5434574,448153,country
OutKast,Hey Ya!,236000,8618731,1502793,Hip-Hop
Mac Miller,The Spins,196000,7215152,517017,Hip-Hop
Childish Gambino,LES,321000,5333616,383144,Hip-Hop
Brent Faiyaz,Clouded,110000,5123107,385961,rnb
MGMT,Little Dark Age,299000,10171083,778045,synthpop
Willow,Wait a Minute!,196000,8952590,783813,rnb
Doja Cat,You Right,186000,9166016,686852,rnb
The Cure,Just Like Heaven,228000,12838233,1435805,80s
Taylor Swift,The Story of Us,266000,5253718,432703,pop
The Weeknd,aFTeR hoURs,0,9112165,634760,MySpotigramBot
Baby Keem,HONEST,172000,7219242,432281,alternative rnb
Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),193000,3907144,413470,pop
Steve Lacy,C U Girl,129000,6979424,572593,indie
Lady Gaga,Just Dance,219000,13811184,1631563,dance
aespa,Hold On Tight,149000,2169353,142427,soty
Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0,6855267,379211,indie pop
Pixies,Where Is My Mind? - Remastered,0,5500842,585520,indie
Thundercat,Them Changes,187000,5905739,605254,funk
Kendrick Lamar,"Bitch, Don’t Kill My Vibe",0,8512863,862481,Hip-Hop
BLACKPINK,Pink Venom,183000,15584052,380928,k-pop
Bruno Mars,Locked Out of Heaven,233000,10401187,1218471,pop
Taylor Swift,Daylight,262000,6223043,345219,pop
Eminem,Without Me,263000,10346296,1390807,rap
A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),0,7275333,575816,MySpotigramBot
Paramore,All I Wanted,224000,7075844,659165,rock
Eyedress,Jealous,122000,6917528,552051,electronic
Bakar,Hell n back,0,4039621,407195,indie
The Goo Goo Dolls,Iris,288000,5200026,580138,rock
Kendrick Lamar,Die Hard,239000,6218469,537271,MySpotigramBot
My Chemical Romance,Teenagers,161000,12339236,1329458,rock
jimin,Like Crazy,0,26989537,142963,bts
Girl In Red,We Fell In Love In October,0,8484237,750953,indie pop
Playboi Carti,Shoota (feat. Lil Uzi Vert),153000,10225567,545127,MySpotigramBot
A$AP Rocky,Sundress,158000,8079603,550544,Hip-Hop
Olivia Rodrigo,drivers license,242000,17452792,859010,pop
Arctic Monkeys,Snap Out of It,193000,9330794,896545,indie rock
Ive,love dive,0,10821530,302749,k-pop
Billie Eilish,TV,281000,4998422,411445,folk
Cults,Always Forever,224000,6524452,642394,indie rock
Olivia Rodrigo,traitor,227000,12659550,729183,Ballad
Kanye West,Runaway,328000,10139759,815204,Hip-Hop
Taylor Swift,Fearless (Taylor’s Version),241000,3791444,300623,country
SZA,Broken Clocks,0,7376745,568550,rnb
Daniel Caesar,Get You (feat. Kali Uchis),278000,7524400,593270,rnb
Taylor Swift,King of My Heart,0,6387537,353995,pop
Vundabar,Alien Blues,0,6211906,464006,indie
